year,gender,name,count
2014,M,Aaban,6
2014,M,Aadan,5
2014,M,Aaden,186
2014,M,Aadhav,6
2014,F,Aadhya,221
2014,M,Aadi,24
2014,M,Aadit,6
2014,M,Aaditya,7
2014,F,Aadya,129
2014,M,Aadyn,7
2014,F,Aahana,18
2014,M,Aahil,40
2014,F,Aahna,7
2014,M,Aaiden,26
2014,M,Aakash,20
2014,F,Aalaya,5
2014,F,Aalayah,23
2014,F,Aaleah,5
2014,F,Aaleyah,52
2014,F,Aalia,17
2014,F,Aaliah,12
2014,F,Aaliya,38
2014,F,Aaliyah,4886
2014,F,Aalyah,5
2014,F,Aalyiah,8
2014,F,Aamina,5
2014,M,Aamir,72
2014,F,Aamira,6
2014,F,Aaniyah,20
2014,F,Aanya,229
2014,F,Aaradhya,57
2014,F,Aaralyn,46
2014,F,Aaralynn,6
2014,M,Aarav,489
2014,F,Aaria,5
2014,M,Aarian,5
2014,M,Aaric,6
2014,M,Aarin,9
2014,F,Aarini,6
2014,M,Aariv,8
2014,F,Aariyah,7
2014,M,Aariz,34
2014,F,Aarna,139
2014,M,Aarnav,20
2014,F,Aarohi,55
2014,F,Aaron,5
2014,M,Aaron,7398
2014,M,Aarush,145
2014,F,Aarushi,5
2014,F,Aarvi,5
2014,F,Aarya,132
2014,M,Aaryan,70
2014,M,Aaryav,5
2014,F,Aaryn,37
2014,M,Aaryn,10
2014,F,Aashi,20
2014,F,Aashna,5
2014,F,Aashvi,12
2014,M,Aasim,6
2014,F,Aasiyah,5
2014,M,Aayan,114
2014,M,Aayansh,5
2014,M,Aayden,126
2014,F,Aayla,6
2014,M,Aayush,45
2014,F,Abagail,92
2014,M,Abba,7
2014,M,Abbas,34
2014,F,Abbey,106
2014,F,Abbie,191
2014,F,Abbigail,292
2014,F,Abbigale,13
2014,M,Abbott,11
2014,F,Abby,816
2014,F,Abbygail,87
2014,F,Abcde,10
2014,M,Abdallah,19
2014,M,Abdelrahman,5
2014,M,Abdias,5
2014,M,Abdiel,201
2014,M,Abdifatah,5
2014,M,Abdihafid,5
2014,M,Abdikadir,6
2014,M,Abdimalik,5
2014,M,Abdinasir,5
2014,M,Abdiqani,5
2014,M,Abdirahman,92
2014,M,Abdirizak,5
2014,M,Abdoul,10
2014,M,Abdoulaye,13
2014,M,Abdul,74
2014,M,Abdulahi,14
2014,M,Abdulaziz,56
2014,M,Abdulla,7
2014,M,Abdullah,382
2014,M,Abdullahi,67
2014,M,Abdulrahman,86
2014,M,Abdurrahman,5
2014,M,Abe,14
2014,M,Abel,2560
2014,M,Abelardo,27
2014,F,Abella,31
2014,M,Abhay,17
2014,M,Abhinav,44
2014,M,Abhiram,21
2014,F,Abi,5
2014,M,Abiel,32
2014,F,Abigael,7
2014,F,Abigaelle,7
2014,F,Abigail,12093
2014,F,Abigale,66
2014,F,Abigayle,56
2014,F,Abilene,12
2014,M,Abimael,8
2014,M,Abir,12
2014,M,Abisai,12
2014,M,Able,11
2014,M,Abner,141
2014,M,Aboubacar,8
2014,F,Abra,5
2014,F,Abraham,5
2014,M,Abraham,2351
2014,M,Abrahan,13
2014,M,Abrahm,7
2014,M,Abram,816
2014,M,Abran,17
2014,F,Abrar,15
2014,M,Abrar,7
2014,F,Abree,11
2014,M,Abrian,5
2014,F,Abriana,28
2014,F,Abrianna,134
2014,F,Abrie,7
2014,M,Abriel,17
2014,F,Abriella,54
2014,F,Abrielle,228
2014,F,Abril,202
2014,M,Abubakar,15
2014,M,Abubakr,6
2014,F,Aby,5
2014,M,Abyan,5
2014,F,Abygail,45
2014,F,Acacia,41
2014,F,Acadia,5
2014,M,Ace,787
2014,F,Acelyn,9
2014,F,Acelynn,31
2014,M,Acen,5
2014,M,Aceyn,5
2014,M,Achilles,110
2014,M,Ackley,5
2014,F,Ada,838
2014,F,Adabella,6
2014,M,Adael,5
2014,F,Adaeze,5
2014,F,Adah,29
2014,M,Adair,10
2014,M,Adalberto,22
2014,F,Adalee,151
2014,F,Adaleigh,84
2014,F,Adalena,15
2014,F,Adalene,7
2014,F,Adali,6
2014,F,Adalia,43
2014,F,Adalie,72
2014,F,Adalina,55
2014,F,Adalind,19
2014,F,Adaline,98
2014,F,Adaliz,9
2014,F,Adaly,14
2014,F,Adalyn,2104
2014,F,Adalyne,12
2014,F,Adalynn,2507
2014,F,Adalynne,34
2014,M,Adam,5328
2014,F,Adamari,30
2014,F,Adamaris,69
2014,M,Adan,795
2014,F,Adara,31
2014,F,Adaya,10
2014,F,Addalie,5
2014,F,Addalyn,170
2014,F,Addalynn,127
2014,F,Addelyn,142
2014,F,Addelynn,5
2014,F,Addie,158
2014,F,Addilyn,537
2014,F,Addilynn,246
2014,F,Addison,6994
2014,M,Addison,85
2014,F,Addisyn,555
2014,F,Addy,14
2014,F,Addysen,10
2014,F,Addyson,834
2014,F,Adeena,5
2014,M,Adel,18
2014,F,Adela,114
