year,gender,name,count
2017,M,Adyan,9
2017,F,Adyson,17
2017,M,Aedan,92
2017,M,Aeden,5
2017,F,Aela,5
2017,F,Aella,9
2017,F,Aerin,5
2017,F,Aeris,29
2017,M,Aero,12
2017,M,Aeson,7
2017,F,Aeva,5
2017,F,Afia,6
2017,M,Afraz,6
2017,F,Afsa,5
2017,F,Afton,46
2017,M,Agam,17
2017,M,Agastya,24
2017,F,Agatha,48
2017,F,Agnes,143
2017,M,Agustin,163
2017,M,Ahaan,39
2017,F,Ahaana,8
2017,M,Ahad,23
2017,F,Ahana,47
2017,M,Aharon,47
2017,F,Ahava,5
2017,M,Ahil,8
2017,F,Ahlaam,5
2017,F,Ahlam,15
2017,F,Ahlani,28
2017,M,Ahmad,443
2017,M,Ahmari,20
2017,M,Ahmed,531
2017,M,Ahmir,166
2017,F,Ahmiyah,5
2017,F,Ahmya,6
2017,M,Ahnaf,8
2017,F,Ahri,6
2017,M,Ahron,34
2017,F,Ahtziri,12
2017,F,Ahuva,75
2017,M,Ahyan,7
2017,F,Aibhlinn,5
2017,F,Aicha,25
2017,F,Aida,107
2017,M,Aidan,1716
2017,F,Aide,7
2017,F,Aiden,7
2017,M,Aiden,11326
2017,M,Aidyn,103
2017,F,Aiko,5
2017,F,Aila,94
2017,F,Ailana,7
2017,F,Ailani,227
2017,F,Ailanie,5
2017,F,Ailany,29
2017,F,Ailee,15
2017,F,Aileen,419
2017,F,Ailen,20
2017,F,Ailey,6
2017,F,Aili,6
2017,F,Ailin,19
2017,F,Ailis,5
2017,F,Ailish,5
2017,F,Ailyn,129
2017,F,Ailynn,15
2017,F,Aima,8
2017,F,Aime,15
2017,F,Aimee,181
2017,F,Ainara,37
2017,F,Aine,5
2017,F,Ainhoa,51
2017,F,Ainslee,33
2017,F,Ainsleigh,6
2017,F,Ainsley,884
2017,F,Aira,26
2017,F,Airabella,5
2017,F,Airam,13
2017,F,Airlie,8
2017,F,Aisha,529
2017,F,Aishah,5
2017,F,Aishani,13
2017,F,Aisley,14
2017,F,Aislin,10
2017,F,Aislinn,182
2017,F,Aislyn,23
2017,F,Aislynn,71
2017,F,Aissatou,17
2017,F,Aitana,376
2017,F,Aitanna,12
2017,F,Aithana,6
2017,F,Aiva,5
2017,M,Aiven,13
2017,F,Aixa,12
2017,F,Aiyana,271
2017,F,Aiyanna,109
2017,M,Aiyden,12
2017,F,Aiyla,5
2017,F,Aiza,87
2017,F,Aizah,45
2017,M,Aizen,61
2017,M,Aj,31
2017,F,Aja,39
2017,M,Ajani,13
2017,M,Ajay,70
2017,F,Ajooni,5
2017,F,Ajwa,5
2017,M,Akai,21
2017,F,Akane,6
2017,F,Akari,10
2017,M,Akari,5
2017,M,Akash,15
2017,F,Akasha,5
2017,M,Akeem,117
2017,F,Akemi,8
2017,M,Akhil,12
2017,M,Akil,20
2017,M,Akio,6
2017,F,Akira,181
2017,M,Akira,10
2017,M,Akiva,77
2017,M,Akram,41
2017,M,Aksel,80
2017,M,Akshaj,8
2017,F,Akshara,106
2017,M,Akshay,14
2017,F,Alaa,31
2017,F,Alabama,6
2017,F,Alaena,5
2017,F,Alaia,420
2017,F,Alaiah,11
2017,M,Alain,37
2017,F,Alaina,1644
2017,F,Alaisha,5
2017,F,Alaiya,26
2017,F,Alaiyah,28
2017,F,Alajah,5
2017,M,Alakai,16
2017,M,Alan,2413
2017,F,Alana,1421
2017,F,Alanah,102
2017,F,Alani,677
2017,F,Alania,5
2017,F,Alanie,11
2017,F,Alanis,76
2017,F,Alanna,533
2017,F,Alannah,247
2017,F,Alanni,14
2017,F,Alany,14
2017,F,Alara,20
2017,M,Alaric,136
2017,F,Alaska,27
2017,M,Alastair,8
2017,F,Alaya,399
2017,F,Alayah,550
2017,F,Alayjah,6
2017,F,Alayla,70
2017,F,Alayna,1352
2017,F,Alaynah,35
2017,F,Alaynna,10
